Metro_Area,2016,2017,2018,Rank_2018
"New Orleans-Metairie, LA",48244,49799,52431,90
"New York-Newark-Jersey City, NY-NJ-PA",68512,72951,76681,7
"Niles, MI",44018,45651,47430,158
"North Port-Sarasota-Bradenton, FL",51775,53730,56462,58
"Norwich-New London, CT",54805,56545,59264,39
"Ocala, FL",34506,35719,36997,362
"Ocean City, NJ",55995,57976,60877,32
"Odessa, TX",37676,42548,47271,160
"Ogden-Clearfield, UT",40498,41795,43988,236
"Oklahoma City, OK",44460,45951,48571,143
"Olympia-Lacey-Tumwater, WA",47328,48820,51684,99
"Omaha-Council Bluffs, NE-IA",53285,55229,58037,45
"Orlando-Kissimmee-Sanford, FL",39920,41748,43491,247
"Oshkosh-Neenah, WI",44662,46131,48101,151
"Owensboro, KY",38753,40016,41387,289
"Oxnard-Thousand Oaks-Ventura, CA",57136,58761,61712,27
"Palm Bay-Melbourne-Titusville, FL",41793,43371,45425,207
"Panama City, FL",41019,41499,43231,253
"Parkersburg-Vienna, WV",37757,39010,41988,277
"Pensacola-Ferry Pass-Brent, FL",40315,41592,43259,251
"Peoria, IL",45463,45851,48870,138
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",60105,61094,64440,20
"Phoenix-Mesa-Chandler, AZ",42460,44208,46125,190
"Pine Bluff, AR",32372,33224,34554,378
"Pittsburgh, PA",51681,54471,58072,44
"Pittsfield, MA",52595,54135,56503,57
"Pocatello, ID",35500,36884,38038,351
"Portland-South Portland, ME",52521,54914,57751,47
"Portland-Vancouver-Hillsboro, OR-WA",51683,54014,56991,52
"Port St. Lucie, FL",50134,51824,54228,72
"Poughkeepsie-Newburgh-Middletown, NY",49419,51658,53811,79
"Prescott Valley-Prescott, AZ",36511,38381,40312,310
"Providence-Warwick, RI-MA",50242,52147,54585,71
"Provo-Orem, UT",37375,38802,40831,298
"Pueblo, CO",36228,37540,39511,328
"Punta Gorda, FL",39292,39868,41564,286
"Racine, WI",45153,47419,49749,124
"Raleigh-Cary, NC",51005,52219,55045,69
"Rapid City, SD",46692,47885,49681,126
"Reading, PA",45863,47412,49945,120
"Redding, CA",43412,44480,46582,174
"Reno, NV",52263,56120,59639,34
"Richmond, VA",53093,55282,57301,49
"Riverside-San Bernardino-Ontario, CA",37774,38821,40486,303
"Roanoke, VA",44292,45076,46963,167
"Rochester, MN",50068,51971,55323,66
"Rochester, NY",47091,49625,51167,104
"Rockford, IL",40600,42121,44328,223
"Rocky Mount, NC",36625,37764,39498,329
"Rome, GA",36054,37003,38524,345
"Sacramento-Roseville-Folsom, CA",52436,54010,56278,59
"Saginaw, MI",36722,37286,38754,338
"St. Cloud, MN",42971,44679,46513,175
"St. George, UT",34775,36809,38847,337
"St. Joseph, MO-KS",36629,37934,39253,333
"St. Louis, MO-IL",51500,52944,55883,64
"Salem, OR",39529,40811,42714,264
"Salinas, CA",52686,53989,56193,61
"Salisbury, MD-DE",45466,46722,48296,146
"Salt Lake City, UT",47394,49048,51736,98
"San Angelo, TX",41962,43896,46406,179
"San Antonio-New Braunfels, TX",43324,44874,46995,166
"San Diego-Chula Vista-Carlsbad, CA",56322,58097,61386,28
"San Francisco-Oakland-Berkeley, CA",86852,92638,99424,4
"San Jose-Sunnyvale-Santa Clara, CA",91198,98690,106213,3
"San Luis Obispo-Paso Robles, CA",53041,55635,58491,42
"Santa Cruz-Watsonville, CA",61166,64901,69355,15
"Santa Fe, NM",54386,55273,58510,41
"Santa Maria-Santa Barbara, CA",57432,59633,62690,25
"Santa Rosa-Petaluma, CA",57566,60170,64501,19
"Savannah, GA",43177,44755,47144,163
"Scranton--Wilkes-Barre, PA",42721,43905,46175,183
"Seattle-Tacoma-Bellevue, WA",66358,69913,74620,11
"Sebastian-Vero Beach, FL",69832,72149,76059,8
"Sebring-Avon Park, FL",32174,32922,33453,380
"Sheboygan, WI",47936,50722,52851,86
"Sherman-Denison, TX",39971,40662,42195,271
"Shreveport-Bossier City, LA",43350,43808,46509,177
"Sierra Vista-Douglas, AZ",37621,39165,40308,311
"Sioux City, IA-NE-SD",47174,48058,50586,112
"Sioux Falls, SD",56085,57299,59520,36
"South Bend-Mishawaka, IN-MI",43477,45624,47244,161
"Spartanburg, SC",40785,41783,43148,255
"Spokane-Spokane Valley, WA",42397,44006,45903,199
"Springfield, IL",44680,46056,48793,139
"Springfield, MA",48770,50057,51953,96
"Springfield, MO",38464,40306,41780,282
"Springfield, OH",37843,39235,40769,300
"State College, PA",42183,44527,46193,182
"Staunton, VA",41224,42622,44316,224
"Stockton, CA",41094,42391,44995,210
"Sumter, SC",34573,35768,37304,359
"Syracuse, NY",45393,48009,49736,125
"Tallahassee, FL",39419,40605,42601,266
"Tampa-St. Petersburg-Clearwater, FL",43763,45313,47240,162
"Terre Haute, IN",35425,36789,38299,349
"Texarkana, TX-AR",35637,36485,37607,357
"The Villages, FL",42126,44097,46100,191
"Toledo, OH",43742,44668,46868,169
"Topeka, KS",42951,43758,46017,193
"Trenton-Princeton, NJ",64505,65877,69344,16
"Tucson, AZ",39904,42133,44028,234
"Tulsa, OK",48035,51134,54866,70
"Tuscaloosa, AL",35421,36396,37983,353
"Twin Falls, ID",36994,37897,39309,332
"Tyler, TX",46218,52034,55229,67
"Urban Honolulu, HI",54860,57049,59608,35
"Utica-Rome, NY",40418,42790,44036,233
"Valdosta, GA",33664,34613,36217,371
"Vallejo, CA",46999,48364,51664,100
"Victoria, TX",41507,43469,45968,197
"Vineland-Bridgeton, NJ",37515,38630,40289,313
"Virginia Beach-Norfolk-Newport News, VA-NC",46992,48485,50619,111
"Visalia, CA",38198,39018,40420,306
"Waco, TX",37897,39182,40831,298
"Walla Walla, WA",42464,44178,46144,185
"Warner Robins, GA",39342,40517,41944,279
"Washington-Arlington-Alexandria, DC-VA-MD-WV",67795,69298,72483,13
"Waterloo-Cedar Falls, IA",42227,43591,46063,192
"Watertown-Fort Drum, NY",43674,45476,46924,168
"Wausau-Weston, WI",45753,47260,49373,130
"Weirton-Steubenville, WV-OH",36579,38472,40472,305
"Wenatchee, WA",45838,48045,50021,119
"Wheeling, WV-OH",41229,45613,48881,137
"Wichita, KS",46659,48818,51854,97
"Wichita Falls, TX",40194,41395,43527,245
"Williamsport, PA",39990,41587,43823,239
"Wilmington, NC",41122,41953,43311,250
"Winchester, VA-WV",44857,46303,48174,148
"Winston-Salem, NC",41559,43306,44850,216
"Worcester, MA-CT",51762,53273,55801,65
"Yakima, WA",40285,41868,43379,249
"York-Hanover, PA",45971,47835,50113,117
"Youngstown-Warren-Boardman, OH-PA",39440,40496,42443,270
"Yuba City, CA",40729,41270,42925,260
"Yuma, AZ",33141,35049,35682,374
