,unique_county,COPD,CHOLSCREEN,KIDNEY,BINGE,CHECKUP,PHLTH,OBESITY,ARTHRITIS,CASTHMA,DENTAL,SLEEP,CANCER,LPA,BPHIGH,DIABETES,STROKE,BPMED,CSMOKING,MHLTH,CHD,Rank,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
237,PuebloColorado,6.586842105263156,69.35789473684208,3.2973684210526315,14.473684210526315,61.98947368421051,15.134210526315787,30.155263157894733,27.810526315789467,9.892105263157896,54.54210526315789,34.594736842105256,6.226315789473685,25.547368421052628,30.88157894736842,10.821052631578949,3.5447368421052627,71.23947368421052,19.255263157894742,12.873684210526319,6.576315789473685,1840,Pueblo,Colorado,21940.0,41777.0,52705.0,"160,048","62,439",8101.0
238,PulaskiArkansas,6.511764705882355,74.4411764705882,2.878431372549019,14.231372549019609,73.56666666666668,13.515686274509806,35.04313725490197,25.566666666666674,9.605882352941176,59.12745098039217,37.58627450980393,5.982352941176471,33.109803921568634,38.260784313725495,11.923529411764706,3.539215686274509,77.6470588235294,19.988235294117644,13.319607843137256,6.199999999999998,578,Pulaski,Arkansas,27414.0,46013.0,58688.0,"386,106","153,720",5119.0
239,QueensNew York,5.322755417956662,75.8904024767802,2.510216718266253,15.19040247678018,71.1877708978329,12.722910216718267,25.264241486068123,20.184055727554185,9.36764705882353,60.46594427244585,41.490247678018534,5.295975232198143,32.21826625386993,29.214860681114583,10.81455108359133,2.877863777089783,72.89071207430344,16.239318885448895,12.088544891640856,5.241486068111452,746,Queens,New York,26495.0,57001.0,64371.0,"2,256,400","778,630",36081.0
240,RacineWisconsin,6.131818181818182,71.86363636363636,2.7136363636363634,20.272727272727273,69.39545454545454,13.609090909090911,36.62727272727273,23.472727272727273,10.609090909090911,60.33181818181819,36.309090909090905,5.854545454545455,27.259090909090904,32.6,9.859090909090911,3.2818181818181817,73.47272727272728,22.431818181818183,12.790909090909093,5.845454545454547,622,Racine,Wisconsin,27141.0,54090.0,66811.0,"195,045","75,087",55101.0
241,RamseyMinnesota,4.951851851851853,68.76543209876543,2.374074074074075,18.31111111111111,67.49012345679017,11.04567901234568,26.691358024691354,18.625925925925927,8.487654320987655,62.89012345679013,31.9777777777778,5.337037037037037,23.18395061728396,24.037037037037027,8.530864197530867,2.7296296296296294,72.3,20.739506172839498,11.159259259259258,4.687654320987653,364,Ramsey,Minnesota,29484.0,54247.0,71206.0,"515,732","205,395",27123.0
242,RandallTexas,5.917391304347827,75.67826086956521,2.3782608695652177,17.473913043478262,67.63913043478261,10.878260869565215,29.16521739130435,22.234782608695653,8.282608695652174,66.06521739130434,29.91304347826087,6.739130434782608,26.721739130434784,30.508695652173916,8.908695652173913,2.5913043478260867,76.50869565217391,16.273913043478263,10.52608695652174,5.652173913043477,391,Randall,Texas,29124.0,58529.0,73144.0,"123,062","48,080",48381.0
243,RichlandSouth Carolina,5.976666666666665,71.22499999999998,2.6599999999999993,16.991666666666667,66.61166666666668,12.41833333333333,33.88333333333333,23.080000000000002,9.305000000000001,56.54666666666666,40.98333333333334,4.791666666666665,26.530000000000005,31.938333333333333,10.158333333333337,3.28,70.99000000000001,19.805000000000007,14.829999999999995,4.996666666666669,890,Richland,South Carolina,25763.0,48359.0,62935.0,"389,708","143,874",45079.0
244,Richmond CityVirginia,6.56060606060606,72.8878787878788,2.933333333333333,16.949999999999992,74.79848484848485,12.345454545454546,32.62272727272727,21.40454545454546,9.76060606060606,62.01515151515153,39.672727272727265,5.318181818181821,27.56060606060606,34.30303030303031,12.259090909090906,3.9257575757575753,75.99090909090907,20.868181818181817,12.854545454545454,5.6363636363636385,612,Richmond City,Virginia,27184.0,40496.0,48681.0,"207,878","84,833",51760.0
245,RichmondGeorgia,8.525531914893616,73.83617021276595,3.308510638297873,13.04042553191489,75.35106382978725,15.742553191489357,36.81063829787235,26.98936170212766,11.151063829787235,51.50212765957448,44.43191489361703,5.868085106382979,34.246808510638296,41.37234042553192,14.7,4.657446808510638,77.61702127659576,22.89787234042553,14.508510638297873,7.187234042553191,2203,Richmond,Georgia,20526.0,37749.0,46486.0,"201,081","72,281",13245.0
246,RichmondNew York,5.840740740740741,78.93148148148147,2.403703703703704,16.575000000000006,73.13333333333334,12.151851851851857,26.75833333333334,24.498148148148132,9.574074074074074,66.28333333333336,38.92592592592593,6.358333333333333,29.304629629629634,29.00370370370371,9.345370370370373,2.6962962962962966,73.70370370370372,18.67222222222222,11.992592592592596,5.577777777777781,228,Richmond,New York,31823.0,72569.0,86133.0,"470,223","164,609",36085.0
247,RiversideCalifornia,5.5148854961832035,71.38816793893136,2.6259541984732797,17.97671755725191,63.367557251908366,13.247709923664123,27.942366412213747,19.84465648854961,8.70229007633588,60.30725190839697,37.84503816793891,5.503435114503813,23.99809160305343,28.56755725190838,9.859923664122144,2.817175572519085,66.94503816793893,15.824427480916034,13.320992366412218,5.448091603053432,1389,Riverside,California,23591.0,56529.0,63378.0,"2,228,528","683,144",6065.0
248,Roanoke CityVirginia,7.778260869565217,76.61304347826088,2.917391304347826,14.969565217391303,74.87391304347827,13.443478260869567,34.01739130434783,25.40434782608696,9.31304347826087,61.195652173913025,38.82608695652174,6.517391304347825,31.043478260869566,35.72173913043479,12.160869565217391,3.8913043478260865,78.76521739130433,22.126086956521736,13.186956521739134,6.591304347826087,1465,Roanoke City,Virginia,23295.0,38145.0,48879.0,"97,355","42,494",51770.0
