,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
2921,Roosevelt,New Mexico,17477.0,38764.0,42703.0,"19,984","7,043",35041
2922,Cocke,Tennessee,17476.0,30573.0,39065.0,"35,596","14,917",47029
2923,Blaine,Montana,17437.0,37151.0,41797.0,"6,550","2,237",30005
2924,Bibb,Alabama,17427.0,36447.0,43004.0,"22,754","7,091",01007
2925,Union,Tennessee,17426.0,34399.0,40717.0,"19,177","7,406",47173
2926,Lincoln,Kentucky,17420.0,33651.0,43121.0,"24,602","9,692",21137
2927,Summers,West Virginia,17416.0,33784.0,44595.0,"13,795","5,350",54089
2928,Howell,Missouri,17416.0,32533.0,41181.0,"40,458","15,796",29091
2929,Butler,Alabama,17403.0,29918.0,38500.0,"20,624","8,235",01013
2930,Stone,Arkansas,17403.0,29832.0,39665.0,"12,517","5,135",05137
2931,Washington County,Florida,17385.0,38501.0,45152.0,"24,702","8,533",12133
2932,Hempstead,Arkansas,17376.0,32056.0,43407.0,"22,509","8,296",05057
2933,Cochran,Texas,17371.0,38650.0,43458.0,"3,068","1,039",48079
2934,Adair,Kentucky,17371.0,32524.0,45463.0,"18,696","7,241",21001
2935,Hickory,Missouri,17361.0,29325.0,36457.0,"9,499","4,219",29085
2936,Jasper,South Carolina,17350.0,36413.0,42070.0,"25,408","8,563",45053
2937,Roane,West Virginia,17341.0,28513.0,38920.0,"14,807","5,975",54087
2938,St. Clair,Missouri,17337.0,31539.0,42242.0,"9,649","4,139",29185
2939,Wheatland,Montana,17336.0,31867.0,43594.0,"2,138",817,30107
2940,Doddridge,West Virginia,17334.0,34817.0,43622.0,"8,213","2,778",54017
2941,Madison,Missouri,17316.0,35870.0,39718.0,"12,350","4,603",29123
2942,Conejos,Colorado,17316.0,34526.0,44338.0,"8,256","3,099",08021
2943,Hart,Kentucky,17273.0,33408.0,42359.0,"18,345","7,115",21099
2944,Wayne,Georgia,17270.0,35830.0,43465.0,"30,187","10,171",13305
2945,Lanier,Georgia,17264.0,39452.0,51739.0,"10,250","3,725",13173
2946,Dallas,Alabama,17245.0,26519.0,38063.0,"43,091","16,173",01047
2947,Covington,Mississippi,17241.0,33381.0,42657.0,"19,520","7,036",28031
2948,Richmond,North Carolina,17236.0,32384.0,40322.0,"46,534","18,254",37153
2949,Wilkinson,Georgia,17228.0,36173.0,44025.0,"9,520","3,348",13319
2950,Ozark,Missouri,17215.0,32078.0,37938.0,"9,653","4,063",29153
2951,Perry,Tennessee,17214.0,32845.0,39661.0,"7,861","3,187",47135
2952,Lafayette,Arkansas,17212.0,29732.0,38913.0,"7,501","2,722",05073
2953,Prince Edward,Virginia,17208.0,37436.0,48282.0,"23,166","7,453",51147
2954,Crowley,Colorado,17187.0,31477.0,41270.0,"5,629","1,173",08025
2955,Perry,Mississippi,17183.0,36124.0,40267.0,"12,174","4,483",28111
2956,Jerome,Idaho,17182.0,40126.0,46585.0,"22,391","7,676",16053
2957,Holmes,Ohio,17177.0,45477.0,53295.0,"42,841","12,467",39075
2958,Tensas,Louisiana,17175.0,27543.0,35328.0,"5,105","2,049",22107
2959,Metcalfe,Kentucky,17171.0,31750.0,40943.0,"10,043","3,919",21169
2960,Graham,Arizona,17168.0,44943.0,50583.0,"37,168","11,031",04009
2961,Buckingham,Virginia,17167.0,38648.0,48786.0,"17,126","5,817",51029
2962,Long,Georgia,17158.0,42651.0,50522.0,"15,285","4,841",13183
2963,Pickens,Alabama,17153.0,28741.0,38728.0,"19,516","7,926",01107
2964,Choctaw,Mississippi,17145.0,29876.0,41164.0,"8,440","3,378",28019
2965,Chesterfield,South Carolina,17140.0,31252.0,40989.0,"46,452","17,622",45025
2966,Duplin,North Carolina,17122.0,34433.0,42029.0,"59,169","22,052",37061
2967,Scott,Tennessee,17121.0,28401.0,35842.0,"22,154","8,206",47151
2968,Wilkes,Georgia,17120.0,28983.0,39534.0,"10,265","4,083",13317
2969,Russell,Kentucky,17107.0,29721.0,37256.0,"17,636","7,270",21207
2970,Thurston,Nebraska,17106.0,41400.0,49612.0,"6,915","2,050",31173
2971,Charlton,Georgia,17102.0,40111.0,50091.0,"13,080","3,727",13049
2972,Bertie,North Carolina,17096.0,30768.0,40850.0,"20,879","7,629",37015
2973,Rowan,Kentucky,17094.0,35236.0,47044.0,"23,425","8,305",21205
2974,Harrisonburg City,Virginia,17080.0,38048.0,53588.0,"49,926","15,701",51660
2975,Taylor,Georgia,17078.0,27455.0,35017.0,"8,595","3,681",13269
2976,Emanuel,Georgia,17064.0,32046.0,37388.0,"22,669","8,026",13107
2977,Drew,Arkansas,17057.0,31171.0,39884.0,"18,686","7,496",05043
2978,Taylor,Florida,17045.0,36356.0,42684.0,"22,660","7,672",12123
2979,Calhoun,Mississippi,17034.0,30000.0,39502.0,"14,875","5,944",28013
2980,Coffee,Georgia,17031.0,35693.0,41964.0,"42,841","14,497",13069
2981,Colquitt,Georgia,17025.0,32484.0,38765.0,"45,781","15,918",13071
2982,Athens,Ohio,17019.0,33823.0,50583.0,"64,811","22,181",39009
2983,Baker,Georgia,17019.0,27353.0,46696.0,"3,410","1,374",13007
2984,Macon,Tennessee,17009.0,35306.0,42307.0,"22,416","8,544",47111
2985,Talbot,Georgia,16993.0,32424.0,38993.0,"6,689","2,682",13263
2986,Yell,Arkansas,16992.0,35535.0,41469.0,"22,014","7,917",05149
2987,Amite,Mississippi,16977.0,30750.0,36277.0,"13,061","5,212",28005
2988,Edgecombe,North Carolina,16971.0,33960.0,42351.0,"56,049","21,021",37065
2989,Piute,Utah,16959.0,38500.0,50179.0,"1,791",570,49031
2990,Adams,Washington,16940.0,43926.0,48121.0,"18,802","5,738",53001
2991,Monroe,Arkansas,16939.0,27263.0,35422.0,"8,002","3,393",05095
2992,Brantley,Georgia,16938.0,36070.0,41975.0,"18,409","6,550",13025
2993,Poinsett,Arkansas,16919.0,32089.0,39616.0,"24,403","9,369",05111
2994,Carroll,Mississippi,16897.0,31039.0,41038.0,"10,501","3,757",28015
2995,Roosevelt,Montana,16888.0,36920.0,49649.0,"10,665","3,264",30085
2996,Pemiscot,Missouri,16881.0,28889.0,38152.0,"18,160","6,941",29155
2997,Clay,Tennessee,16867.0,29727.0,36659.0,"7,816","3,281",47027
2998,Shannon,Missouri,16862.0,31132.0,41440.0,"8,388","3,220",29203
2999,Dixie,Florida,16851.0,33981.0,42959.0,"16,234","6,130",12029
3000,Walthall,Mississippi,16850.0,31090.0,43597.0,"15,265","5,649",28147
3001,Bee,Texas,16848.0,43690.0,50229.0,"32,281","8,539",48025
3002,Holmes,Florida,16845.0,35511.0,45713.0,"19,864","6,808",12059
3003,Dallas,Arkansas,16838.0,28931.0,39681.0,"8,045","3,269",05039
3004,Terrell,Georgia,16836.0,32628.0,38007.0,"9,246","3,351",13273
3005,Phillips,Arkansas,16830.0,26737.0,34684.0,"21,253","8,339",05107
3006,Barbour,Alabama,16829.0,32911.0,43462.0,"27,321","9,200",01005
3007,Macon,Alabama,16826.0,30724.0,41233.0,"20,803","8,107",01087
3008,Campbell,Tennessee,16812.0,31943.0,39284.0,"40,553","15,959",47013
3009,Johnson,Georgia,16807.0,36722.0,43634.0,"9,903","3,250",13167
3010,Clinton,Kentucky,16795.0,27100.0,31364.0,"10,210","3,960",21053
3011,Scott,Mississippi,16789.0,34534.0,39404.0,"28,255","9,692",28123
3012,Winn,Louisiana,16789.0,34322.0,45200.0,"15,129","5,402",22127
3013,Berrien,Georgia,16784.0,32258.0,42594.0,"19,174","7,040",13019
3014,Leake,Mississippi,16780.0,32521.0,38766.0,"23,519","8,069",28079
3015,Imperial,California,16763.0,41807.0,45540.0,"175,201","48,099",06025
3016,Anson,North Carolina,16752.0,33870.0,39667.0,"26,569","9,686",37007
3017,Somerset,Maryland,16748.0,38447.0,53413.0,"26,347","8,419",24039
3018,Clay,West Virginia,16740.0,31613.0,42629.0,"9,352","3,435",54015
3019,Searcy,Arkansas,16731.0,30779.0,39444.0,"8,101","3,296",05129
3020,Sharp,Arkansas,16714.0,30861.0,40550.0,"17,203","7,023",05135
3021,Kinney,Texas,16700.0,33257.0,45375.0,"3,589","1,195",48271
3022,Morehouse,Louisiana,16683.0,28585.0,39570.0,"27,603","10,482",22067
