,DENTAL,UniqueID,SLEEP,BPHIGH,COPD,CANCER,CHECKUP,DIABETES,CSMOKING,CHOLSCREEN,PHLTH,STROKE,KIDNEY,CHD,HIGHCHOL,CASTHMA,BINGE,LPA,BPMED,ARTHRITIS,MHLTH,OBESITY,ACCESS2,PAPTEST,COLON_SCREEN,MAMMOUSE,TEETHLOST,geometry,state,population,longitude,latitude,COREM,COREW,fips
140,70.8,1150000-11001009302,37.2,32.3,4.8,5.2,76.8,9.8,19.0,80.2,10.2,3.2,2.5,4.1,32.0,10.4,21.3,21.3,76.8,20.5,11.2,26.8,9.9,87.8,69.1,81.2,11.7,"(38.9251124053, -76.99085334)",DC,1189.0,-76.99085334,38.9251124053,28.0,27.8,11500
141,66.1,1150000-11001009400,38.7,41.1,5.9,6.9,80.8,13.4,17.8,84.1,11.9,4.8,3.6,6.1,36.6,10.5,16.7,23.5,82.0,26.5,10.7,29.5,9.4,85.3,66.7,79.4,13.2,"(38.9367763097, -76.9742391991)",DC,4163.0,-76.9742391991,38.9367763097,26.9,24.7,11500
142,57.8,1150000-11001009501,37.7,26.4,6.0,3.6,70.3,9.0,25.1,63.2,12.0,3.3,2.6,4.1,29.6,11.6,22.5,24.7,71.8,17.0,15.5,26.7,15.0,75.9,56.3,74.9,19.5,"(38.9418249919, -77.0029267109)",DC,5797.0,-77.0029267109,38.9418249919,25.4,20.8,11500
143,71.5,1150000-11001009503,36.1,40.1,4.7,7.9,82.3,12.0,12.8,87.8,9.6,4.1,3.5,5.7,36.5,9.6,16.5,19.3,83.5,26.0,8.5,25.8,6.2,86.7,70.0,80.7,10.5,"(38.9434460988, -76.9845275919)",DC,2910.0,-76.9845275919,38.9434460988,29.7,27.7,11500
144,65.5,1150000-11001009504,37.2,40.0,6.4,7.3,79.5,13.0,18.6,82.6,12.1,4.8,3.6,6.3,36.9,10.5,17.2,23.9,82.0,26.9,11.0,28.0,9.7,84.3,66.1,78.2,13.9,"(38.9409336923, -76.9930948758)",DC,3025.0,-76.9930948758,38.9409336923,27.9,24.6,11500
145,67.1,1150000-11001009505,38.4,42.1,5.7,7.5,82.3,13.4,16.5,85.1,11.4,4.7,3.5,6.0,37.0,10.5,15.9,23.2,83.3,27.3,10.1,28.3,9.4,86.6,69.2,79.9,13.3,"(38.9619641461, -77.00519921)",DC,2630.0,-77.00519921,38.9619641461,27.6,26.8,11500
146,67.8,1150000-11001009507,38.1,42.2,6.2,7.4,81.8,14.0,17.4,82.7,12.2,5.1,3.7,6.4,36.9,10.8,15.8,24.6,83.0,27.5,10.8,29.4,11.0,87.1,69.7,79.7,12.6,"(38.958501286, -76.9977710356)",DC,1489.0,-76.9977710356,38.958501286,27.8,27.2,11500
147,70.3,1150000-11001009508,37.0,39.4,5.1,7.2,81.6,12.4,15.3,83.9,10.3,4.3,3.4,5.5,35.1,10.3,17.1,21.4,82.6,25.3,9.7,27.3,8.4,87.1,70.4,80.3,10.9,"(38.9538601473, -76.9984739959)",DC,3290.0,-76.9984739959,38.9538601473,28.2,27.9,11500
148,71.2,1150000-11001009509,38.0,41.2,5.3,7.2,82.1,13.0,16.1,85.3,10.8,4.5,3.4,5.8,36.1,10.3,16.3,22.3,82.8,26.2,9.9,28.3,8.6,88.4,71.8,81.8,10.5,"(38.9491918358, -76.9949630488)",DC,2940.0,-76.9949630488,38.9491918358,28.6,28.6,11500
149,50.2,1150000-11001009601,44.7,41.4,9.0,5.1,78.6,15.4,29.1,73.2,17.3,6.0,3.9,6.4,36.5,13.6,14.9,31.5,78.1,26.6,16.9,36.3,17.0,78.7,54.2,74.3,23.6,"(38.9102016818, -76.9444388681)",DC,2445.0,-76.9444388681,38.9102016818,22.7,19.4,11500
150,41.9,1150000-11001009602,47.5,40.4,9.9,4.5,77.1,15.2,34.6,68.9,18.9,5.9,3.8,6.0,35.8,14.6,14.8,34.7,75.7,25.9,19.5,38.6,20.2,74.1,49.7,71.5,28.8,"(38.9013311276, -76.9534288384)",DC,3280.0,-76.9534288384,38.9013311276,20.9,17.9,11500
151,58.2,1150000-11001009603,43.1,43.1,7.5,6.2,80.6,15.0,24.2,79.8,14.5,5.5,3.6,6.4,37.2,12.1,16.0,28.1,80.6,27.4,13.7,33.5,12.9,83.8,63.0,77.8,17.8,"(38.8918319575, -76.9478990099)",DC,3373.0,-76.9478990099,38.8918319575,24.7,23.2,11500
152,63.8,1150000-11001009604,41.3,43.9,6.6,7.0,82.3,14.6,20.4,83.7,13.0,5.1,3.6,6.2,37.5,11.3,15.5,26.2,82.6,28.3,11.8,31.8,10.4,85.9,67.4,80.2,14.4,"(38.8933925459, -76.958294192)",DC,1962.0,-76.958294192,38.8933925459,26.6,25.0,11500
153,52.1,1150000-11001009700,45.0,43.0,9.4,5.1,78.6,16.4,31.0,73.7,17.8,6.1,4.0,6.7,37.4,13.6,14.7,32.7,78.5,27.2,17.2,38.1,17.5,80.6,58.8,75.0,20.6,"(38.8340938046, -76.9897525071)",DC,3177.0,-76.9897525071,38.8340938046,22.5,21.9,11500
154,51.4,1150000-11001009801,44.5,42.0,8.9,5.3,78.7,15.7,29.3,73.9,17.1,6.1,4.0,6.7,36.7,13.3,14.9,31.6,78.3,26.8,16.6,36.7,16.9,79.7,57.4,74.7,21.1,"(38.833834401, -76.9963776795)",DC,1575.0,-76.9963776795,38.833834401,22.9,20.0,11500
155,46.5,1150000-11001009802,46.4,39.7,9.1,4.4,77.1,14.5,33.2,70.1,17.8,5.6,3.7,5.8,34.7,14.1,15.3,33.3,74.9,24.8,18.5,38.1,19.2,77.6,52.7,73.5,25.0,"(38.8307311498, -76.9965577715)",DC,1693.0,-76.9965577715,38.8307311498,21.5,18.8,11500
156,45.0,1150000-11001009803,47.1,42.8,9.3,4.8,78.1,16.2,32.5,73.5,18.0,5.9,3.8,6.5,37.2,13.4,15.3,33.1,77.6,26.7,17.6,38.9,17.7,76.6,52.5,73.5,24.5,"(38.8358693482, -77.0040831938)",DC,2758.0,-77.0040831938,38.8358693482,20.9,18.8,11500
157,55.6,1150000-11001009804,44.6,41.1,8.4,4.8,78.3,15.1,30.1,74.0,16.5,5.4,3.6,5.9,36.2,13.1,16.0,31.3,77.6,25.7,16.5,37.0,16.4,82.2,59.9,77.1,18.0,"(38.8396610899, -76.9978352709)",DC,2473.0,-76.9978352709,38.8396610899,23.7,22.8,11500
158,53.7,1150000-11001009807,44.5,42.9,8.0,5.5,79.5,15.5,27.0,77.8,15.5,5.5,3.6,6.4,37.3,12.3,16.0,29.6,79.4,26.8,14.7,35.8,14.6,81.2,60.3,76.2,19.5,"(38.8292134165, -77.0117531092)",DC,3072.0,-77.0117531092,38.8292134165,23.6,22.3,11500
159,50.9,1150000-11001009810,46.6,38.5,7.9,4.2,77.4,13.5,31.2,72.0,16.1,4.9,3.3,5.2,33.8,13.4,16.4,30.9,74.6,23.4,17.3,37.4,16.5,79.7,55.4,76.4,20.0,"(38.8272004446, -77.0045793122)",DC,2507.0,-77.0045793122,38.8272004446,22.7,20.3,11500
