,DENTAL,UniqueID,SLEEP,BPHIGH,COPD,CANCER,CHECKUP,DIABETES,CSMOKING,CHOLSCREEN,PHLTH,STROKE,KIDNEY,CHD,HIGHCHOL,CASTHMA,BINGE,LPA,BPMED,ARTHRITIS,MHLTH,OBESITY,ACCESS2,PAPTEST,COLON_SCREEN,MAMMOUSE,TEETHLOST,geometry,state,population,longitude,latitude,COREM,COREW,fips
83,85.5,1150000-11001006700,26.4,19.3,2.7,5.4,71.6,4.5,10.4,84.6,5.6,1.4,1.8,2.6,27.9,8.0,27.4,11.7,70.5,14.8,7.4,17.4,3.8,90.2,75.6,80.8,3.5,"(38.8875982141, -76.989959719)",DC,3775.0,-76.989959719,38.8875982141,38.3,37.1,11500
84,70.6,1150000-11001006801,36.3,27.7,3.9,4.7,74.5,7.8,17.6,79.3,8.5,2.6,2.3,3.4,28.8,9.7,24.1,18.5,73.8,17.4,10.3,24.7,8.1,87.1,67.2,80.1,10.9,"(38.8877299699, -76.9801035038)",DC,1949.0,-76.9801035038,38.8877299699,28.7,27.4,11500
85,74.8,1150000-11001006802,33.6,27.2,3.7,5.2,74.3,7.5,15.5,82.4,8.1,2.5,2.4,3.5,29.5,9.3,23.5,17.1,74.9,17.8,9.5,23.5,6.7,87.8,69.1,80.8,9.1,"(38.8831749899, -76.9814681769)",DC,2084.0,-76.9814681769,38.8831749899,30.4,28.2,11500
86,24.0,1150000-11001006804,51.8,39.2,11.4,2.3,67.5,14.6,49.1,52.1,22.9,5.8,3.7,6.1,34.2,12.8,19.0,41.3,63.3,19.3,23.4,44.4,36.1,61.5,29.0,62.2,39.4,"(38.8878739778, -76.971276861)",DC,3670.0,-76.971276861,38.8878739778,16.2,12.2,11500
87,80.5,1150000-11001006900,30.3,22.6,3.1,5.2,72.4,5.8,13.3,83.5,6.6,1.9,2.0,2.8,28.1,8.5,26.3,14.3,72.8,15.9,8.5,20.2,5.1,89.3,73.5,82.0,6.2,"(38.8836356994, -76.9873508943)",DC,2179.0,-76.9873508943,38.8836356994,34.3,31.8,11500
88,81.4,1150000-11001007000,27.9,17.4,3.0,4.2,68.6,4.2,14.4,75.8,6.1,1.4,1.5,2.3,25.5,8.2,31.3,13.7,66.3,12.9,8.9,17.8,6.0,88.8,73.5,80.2,5.4,"(38.8813275374, -76.9959253804)",DC,2812.0,-76.9959253804,38.8813275374,36.4,34.8,11500
89,61.2,1150000-11001007100,38.1,27.4,4.9,4.3,72.6,8.3,20.8,76.3,10.3,2.8,2.6,3.6,29.5,10.5,21.7,20.9,71.6,17.8,12.4,27.1,10.0,81.1,58.9,75.4,15.3,"(38.8771309137, -76.987125306)",DC,2911.0,-76.987125306,38.8771309137,25.3,22.8,11500
90,75.9,1150000-11001007200,31.3,18.3,2.7,3.7,68.2,4.6,15.3,75.4,6.1,1.6,1.8,2.2,23.1,8.6,29.2,14.7,64.8,11.8,9.2,20.1,7.1,87.4,71.3,80.5,7.8,"(38.8751274055, -77.0008856064)",DC,2794.0,-77.0008856064,38.8751274055,29.7,29.6,11500
91,75.0,1150000-11001007301,33.2,12.7,2.3,2.2,66.4,2.7,17.5,69.6,5.6,0.8,1.1,1.2,18.6,8.8,33.4,14.6,48.4,8.0,10.5,19.3,7.9,86.2,62.2,78.2,7.7,"(38.8407214661, -77.023048405)",DC,3012.0,-77.023048405,38.8407214661,34.2,30.6,11500
92,48.8,1150000-11001007304,45.3,42.0,8.9,5.3,78.7,15.5,29.7,73.8,17.1,6.0,3.9,6.6,36.7,13.3,15.1,31.9,78.3,26.8,16.7,36.7,16.8,78.4,55.5,74.3,23.4,"(38.8408793676, -76.9851734491)",DC,3546.0,-76.9851734491,38.8408793676,22.2,19.2,11500
93,34.2,1150000-11001007401,49.3,40.9,11.8,3.8,75.3,16.1,40.6,62.5,22.2,6.7,4.1,6.3,36.3,15.8,13.9,38.9,73.2,25.7,22.9,41.4,26.2,68.8,43.2,68.0,35.0,"(38.86464115, -76.9968811847)",DC,2414.0,-76.9968811847,38.86464115,18.0,14.8,11500
94,45.5,1150000-11001007403,47.0,37.7,8.2,4.0,77.0,13.3,32.7,68.9,16.5,4.9,3.3,5.1,33.5,13.9,16.3,32.1,73.7,22.9,18.1,37.2,18.5,76.8,52.4,73.5,25.0,"(38.8484629857, -76.9744329125)",DC,2859.0,-76.9744329125,38.8484629857,21.3,19.0,11500
95,44.0,1150000-11001007404,47.5,37.4,8.5,3.9,76.1,13.1,33.8,68.6,17.2,4.9,3.4,4.8,33.1,14.1,16.0,32.8,72.7,23.0,18.8,38.0,19.6,76.6,51.2,73.0,25.8,"(38.8503102279, -76.9820302095)",DC,3310.0,-76.9820302095,38.8503102279,20.8,18.3,11500
96,47.2,1150000-11001007406,47.1,33.2,6.5,3.6,76.8,10.6,30.3,69.6,13.9,3.7,2.7,3.7,29.9,13.5,17.9,29.2,70.7,19.9,17.1,35.0,16.0,77.9,53.5,74.5,23.2,"(38.8555133738, -76.9895724994)",DC,3063.0,-76.9895724994,38.8555133738,20.9,19.4,11500
97,52.4,1150000-11001007407,45.4,39.3,7.5,4.6,78.0,13.7,29.1,75.0,15.3,4.9,3.4,5.4,34.3,12.8,16.6,29.9,76.1,24.1,15.9,36.3,15.3,81.5,57.3,76.1,20.1,"(38.857466985, -76.9850581951)",DC,2587.0,-76.9850581951,38.857466985,23.3,21.4,11500
98,39.1,1150000-11001007408,49.1,40.5,9.7,3.8,75.4,14.9,38.2,67.1,19.3,5.7,3.5,5.8,35.3,14.0,16.3,35.8,73.2,24.1,20.0,40.2,22.1,73.9,46.1,71.3,29.8,"(38.8525727287, -76.9706854125)",DC,3038.0,-76.9706854125,38.8525727287,19.9,16.9,11500
99,49.3,1150000-11001007409,46.6,37.7,8.0,4.1,77.1,13.1,32.5,69.8,16.3,4.9,3.3,5.0,33.3,13.8,16.2,32.2,73.9,23.1,17.9,37.0,18.0,79.5,55.2,75.5,22.8,"(38.8452833886, -76.9743267079)",DC,3499.0,-76.9743267079,38.8452833886,22.0,19.6,11500
100,41.2,1150000-11001007502,47.0,44.1,10.2,5.3,78.4,17.2,31.9,72.4,19.1,6.9,4.3,7.5,38.4,13.6,14.1,34.4,79.0,28.4,17.8,38.1,18.9,73.3,49.3,71.5,29.3,"(38.8566328875, -76.9695452261)",DC,4541.0,-76.9695452261,38.8566328875,20.6,16.1,11500
101,47.2,1150000-11001007503,46.0,40.5,8.7,4.8,77.7,14.8,31.0,72.2,17.0,5.6,3.7,6.1,35.7,13.3,15.6,32.1,76.5,25.2,17.2,37.0,17.7,78.2,53.0,73.5,24.0,"(38.8639864249, -76.9869812788)",DC,2425.0,-76.9869812788,38.8639864249,21.8,19.1,11500
102,43.7,1150000-11001007504,47.3,43.0,10.4,4.6,77.0,16.7,35.2,70.5,19.7,6.5,4.1,6.8,37.3,13.9,14.6,35.2,76.7,26.8,19.1,40.2,20.1,75.0,50.0,71.8,26.8,"(38.8610018457, -76.9794089411)",DC,2451.0,-76.9794089411,38.8610018457,20.7,18.2,11500
103,56.2,1150000-11001007601,43.5,42.8,7.7,5.8,79.9,15.2,25.5,79.0,15.0,5.4,3.6,6.4,37.3,12.1,15.9,28.7,80.0,27.1,14.1,34.8,13.2,81.8,60.6,76.7,18.1,"(38.8715102905, -76.9799978917)",DC,4355.0,-76.9799978917,38.8715102905,24.8,22.6,11500
104,65.9,1150000-11001007603,40.5,40.1,6.5,6.1,80.2,13.3,22.1,81.3,12.9,4.6,3.3,5.7,35.8,11.5,16.7,25.7,79.7,25.6,12.5,32.0,11.3,86.6,68.4,80.2,12.6,"(38.8591091436, -76.9585463501)",DC,4044.0,-76.9585463501,38.8591091436,28.1,27.0,11500
105,65.1,1150000-11001007604,41.2,41.1,6.2,6.2,81.0,13.6,20.8,83.1,12.4,4.6,3.3,5.7,36.0,11.2,16.9,24.6,80.5,25.8,11.9,31.9,10.0,86.5,67.3,79.9,12.9,"(38.8660868826, -76.9637959927)",DC,3644.0,-76.9637959927,38.8660868826,26.7,26.6,11500
